Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Unemployment rate,GDP,prediccion,prob_Dropout,prob_Enrolled,prob_Graduate,riesgo_dropout_pct
1,39,1,9238,1,19,133.1,37,37,9,9,120.0,0,1,1,0,0,40,16.2,-0.92,Dropout,79.7,8.8,11.5,79.7
1,1,5,9070,1,1,117.0,19,37,5,5,131.0,1,1,0,1,0,21,9.4,-3.12,Dropout,79.5,18.2,2.4,79.5
1,43,1,9556,1,1,140.0,37,37,9,9,128.0,1,0,0,0,0,32,10.8,1.74,Dropout,79.2,16.9,3.9,79.2
1,1,1,9773,1,1,120.0,19,37,9,9,118.3,0,1,0,1,1,18,13.9,0.79,Dropout,78.9,13.7,7.4,78.9
5,39,1,9147,1,1,133.1,1,19,4,7,114.0,0,0,0,1,0,29,8.9,3.51,Dropout,78.7,19.4,1.9,78.7
1,43,1,9238,1,1,143.0,1,37,5,9,126.6,0,1,0,0,0,21,9.4,-3.12,Dropout,78.2,18.7,3.1,78.2
2,39,2,8014,0,1,100.0,34,34,0,0,100.0,1,0,1,0,0,41,7.6,0.32,Dropout,78.0,2.6,19.5,78.0
1,43,5,9238,1,1,101.0,37,19,9,7,119.9,1,1,0,0,0,22,9.4,-3.12,Dropout,77.7,19.8,2.5,77.7
1,44,1,9119,1,1,130.0,37,12,9,8,129.4,1,1,0,1,0,23,13.9,0.79,Dropout,77.4,22.2,0.4,77.4
1,1,2,9254,1,1,112.0,37,37,6,6,106.1,1,0,0,0,0,20,11.1,2.02,Dropout,76.9,15.5,7.7,76.9
1,39,2,8014,0,1,100.0,35,37,90,90,100.0,0,0,1,0,0,41,7.6,0.32,Dropout,76.8,6.5,16.8,76.8
1,17,1,9130,1,1,131.0,12,12,2,8,128.2,1,0,1,1,0,18,12.4,1.79,Dropout,75.7,10.3,14.0,75.7
1,18,1,9085,1,1,106.0,1,19,3,5,104.6,0,0,0,1,0,21,11.1,2.02,Dropout,75.7,20.5,3.8,75.7
1,43,2,8014,0,3,130.0,34,34,0,0,130.0,0,0,1,1,0,31,7.6,0.32,Dropout,75.5,1.0,23.5,75.5
1,1,1,9254,1,1,127.0,19,19,4,6,120.7,0,1,0,0,0,22,10.8,1.74,Dropout,74.9,21.6,3.5,74.9
1,1,5,9147,1,1,132.0,39,39,3,3,127.8,1,0,0,1,0,18,11.1,2.02,Dropout,74.8,22.5,2.7,74.8
1,7,1,9500,1,3,140.0,34,34,0,0,140.0,0,0,1,0,0,28,7.6,0.32,Dropout,74.6,0.8,24.6,74.6
1,39,1,9500,1,1,130.0,19,19,3,7,129.0,0,1,0,0,0,26,12.4,1.79,Dropout,74.5,22.8,2.7,74.5
1,1,1,9670,1,1,123.0,37,38,9,9,113.9,1,1,0,0,0,18,10.8,1.74,Dropout,74.2,21.8,4.1,74.2
2,39,2,9556,1,12,133.1,34,34,99,99,100.5,0,0,1,0,0,39,11.1,2.02,Dropout,74.2,10.5,15.3,74.2
2,43,1,9991,0,1,150.0,38,19,3,3,120.1,0,0,0,0,0,39,10.8,1.74,Dropout,74.1,18.4,7.4,74.1
1,39,1,9003,1,19,133.1,19,37,1,1,140.0,0,1,1,1,0,24,16.2,-0.92,Dropout,73.8,14.8,11.4,73.8
1,39,1,9556,1,19,133.1,37,37,9,10,100.0,0,0,1,1,0,31,15.5,-4.06,Dropout,73.5,19.7,6.8,73.5
1,1,1,9773,1,1,140.0,3,2,4,6,133.4,1,0,0,1,0,29,11.1,2.02,Dropout,73.2,20.2,6.6,73.2
1,44,1,9119,1,39,130.0,19,3,3,4,130.0,0,1,0,1,0,23,15.5,-4.06,Dropout,73.1,26.7,0.2,73.1
1,7,1,9670,1,3,110.0,27,37,3,3,110.0,1,0,1,1,0,27,9.4,-3.12,Dropout,72.3,12.0,15.7,72.3
1,7,1,9119,1,4,180.0,4,3,2,7,180.0,0,1,1,1,0,30,13.9,0.79,Dropout,71.8,20.4,7.8,71.8
1,7,1,9085,1,3,120.0,37,37,7,7,120.0,0,0,1,0,0,32,15.5,-4.06,Dropout,71.7,11.4,16.9,71.7
2,43,1,9003,1,1,149.0,1,1,4,5,156.1,1,0,0,1,0,29,15.5,-4.06,Dropout,71.3,19.2,9.5,71.3
1,17,6,9119,1,1,129.0,37,13,4,90,117.1,1,0,1,1,0,19,7.6,0.32,Dropout,71.1,21.4,7.5,71.1
1,1,3,9773,1,1,161.0,37,37,9,9,137.9,0,1,0,0,1,20,10.8,1.74,Dropout,70.9,12.9,16.2,70.9
2,7,1,171,1,3,120.0,19,19,9,9,130.0,1,0,1,1,0,37,7.6,0.32,Dropout,70.7,9.7,19.6,70.7
4,39,1,9130,1,1,140.0,37,37,6,7,150.0,1,0,1,1,0,34,16.2,-0.92,Dropout,70.4,14.8,14.9,70.4
1,1,5,9500,1,1,141.0,38,19,7,7,132.5,1,0,0,0,0,19,12.7,-1.7,Dropout,70.2,14.5,15.3,70.2
1,7,1,9147,1,3,130.0,38,38,1,9,130.0,0,0,1,0,0,27,10.8,1.74,Dropout,68.5,14.4,17.2,68.5
1,7,1,9991,0,3,140.0,37,37,9,9,140.0,0,0,1,1,0,27,7.6,0.32,Dropout,68.0,13.2,18.9,68.0
1,17,1,9070,1,1,122.0,1,1,4,8,123.8,1,1,0,0,1,18,12.7,-1.7,Dropout,68.0,23.6,8.4,68.0
1,39,1,9085,1,1,133.1,37,36,90,7,128.2,0,0,1,1,0,28,7.6,0.32,Dropout,67.9,18.7,13.4,67.9
1,43,1,9085,1,1,130.0,19,38,4,9,130.0,1,0,0,0,0,19,13.9,0.79,Dropout,67.3,27.3,5.4,67.3
1,1,1,171,1,1,152.0,1,38,4,9,160.4,1,0,0,0,0,19,7.6,0.32,Dropout,67.3,18.6,14.1,67.3
1,39,1,9773,1,12,120.0,1,1,9,9,129.8,1,0,1,1,0,52,9.4,-3.12,Dropout,67.2,16.5,16.4,67.2
1,7,1,9130,1,3,140.0,19,38,9,9,140.0,1,0,1,0,0,23,12.4,1.79,Dropout,66.7,7.0,26.4,66.7
1,17,3,9254,1,1,127.0,12,38,5,7,116.9,1,1,1,0,0,18,12.4,1.79,Dropout,66.4,22.7,10.9,66.4
1,1,1,9070,1,1,125.0,1,1,4,4,132.0,0,0,0,0,0,18,13.9,0.79,Dropout,66.3,22.3,11.4,66.3
4,43,1,8014,0,12,133.1,34,34,0,0,106.0,1,0,1,0,0,48,7.6,0.32,Dropout,66.2,3.3,30.5,66.2
1,44,1,9003,1,1,140.0,1,19,3,9,140.0,1,1,0,0,0,23,12.4,1.79,Dropout,65.8,29.2,5.0,65.8
1,1,2,9070,1,1,134.0,1,19,3,3,127.7,1,0,0,0,0,18,13.9,0.79,Dropout,65.4,16.6,18.1,65.4
1,1,5,9670,1,1,116.0,19,38,9,9,119.5,1,0,0,0,0,18,8.9,3.51,Dropout,64.7,23.0,12.4,64.7
1,39,1,9991,0,19,133.1,37,37,9,6,105.3,0,1,1,0,0,28,12.4,1.79,Dropout,64.5,28.3,7.3,64.5
1,18,2,9853,1,1,168.0,1,19,3,9,126.8,1,0,1,1,0,18,10.8,1.74,Dropout,63.3,19.8,17.0,63.3
1,43,1,9991,0,12,133.1,12,12,9,9,120.0,0,0,1,1,0,28,10.8,1.74,Dropout,63.1,18.3,18.7,63.1
1,53,1,171,1,42,130.0,1,19,9,9,130.0,1,0,0,1,1,22,8.9,3.51,Dropout,62.8,18.2,19.0,62.8
1,43,1,9238,1,1,110.0,14,14,90,90,112.5,1,0,1,0,0,20,7.6,0.32,Dropout,62.6,9.4,27.9,62.6
1,1,1,171,1,1,127.0,1,1,4,3,126.3,1,1,1,1,0,21,16.2,-0.92,Dropout,62.0,22.8,15.2,62.0
2,7,1,9147,1,3,130.0,1,4,3,10,130.0,0,0,1,0,0,45,12.4,1.79,Dropout,61.9,11.4,26.7,61.9
1,7,1,9003,1,4,120.0,3,1,2,4,120.0,1,0,1,0,0,31,15.5,-4.06,Dropout,61.6,18.1,20.3,61.6
2,1,1,9238,1,1,145.0,37,34,9,7,139.4,0,0,0,0,0,27,9.4,-3.12,Dropout,60.8,14.5,24.7,60.8
2,39,1,9119,1,1,110.0,19,19,0,5,137.0,0,1,1,1,0,30,7.6,0.32,Dropout,60.5,37.6,1.9,60.5
2,42,1,9147,1,1,100.0,37,37,9,9,100.0,1,0,1,0,0,54,15.5,-4.06,Dropout,60.3,25.6,14.0,60.3
2,39,2,9147,1,3,130.0,3,37,9,9,103.4,0,0,1,0,0,30,12.7,-1.7,Dropout,60.3,23.2,16.5,60.3
1,39,1,9070,1,1,140.0,37,37,9,10,118.0,0,1,1,1,1,45,16.2,-0.92,Dropout,60.3,25.8,13.9,60.3
1,39,1,9500,1,19,133.1,1,5,4,3,100.0,0,0,1,0,0,24,12.7,-1.7,Dropout,60.2,15.3,24.5,60.2
1,39,1,9003,1,19,133.1,1,19,4,10,114.0,0,0,1,1,0,29,15.5,-4.06,Dropout,59.8,23.1,17.1,59.8
2,7,1,9254,1,3,130.0,1,3,4,3,130.0,0,0,1,0,0,39,12.4,1.79,Dropout,59.6,5.2,35.2,59.6
2,39,1,9147,1,19,133.1,37,19,9,3,128.0,0,0,1,1,0,49,8.9,3.51,Dropout,58.7,21.0,20.3,58.7
1,17,1,9773,1,1,117.0,38,38,9,9,111.1,0,1,1,1,0,19,16.2,-0.92,Dropout,58.7,27.3,14.0,58.7
2,43,1,9853,1,1,110.0,37,37,7,7,100.0,0,0,1,1,0,40,13.9,0.79,Dropout,58.4,35.4,6.1,58.4
5,39,1,9853,1,19,133.1,37,37,9,8,118.0,0,0,1,0,0,27,12.4,1.79,Dropout,58.3,24.1,17.6,58.3
1,43,2,9500,1,1,120.0,37,34,90,0,121.5,0,1,1,0,0,22,7.6,0.32,Dropout,58.0,19.5,22.5,58.0
1,51,1,9991,0,1,120.0,38,3,5,3,128.2,0,1,1,1,0,24,12.4,1.79,Dropout,58.0,25.3,16.8,58.0
5,42,1,9254,1,2,120.0,37,37,4,9,120.0,0,0,1,0,0,32,10.8,1.74,Dropout,57.8,8.9,33.3,57.8
1,18,5,9853,1,1,110.0,19,37,7,7,110.0,1,0,1,0,0,20,10.8,1.74,Dropout,57.6,28.0,14.4,57.6
2,39,1,9991,0,1,140.0,37,37,9,9,118.2,0,0,1,1,0,52,7.6,0.32,Dropout,56.8,31.4,11.8,56.8
1,1,1,9070,1,1,136.0,3,3,9,9,136.0,1,1,0,0,1,19,10.8,1.74,Dropout,56.5,26.0,17.5,56.5
1,7,1,9238,1,40,130.0,37,37,5,5,130.0,0,0,1,1,0,37,15.5,-4.06,Dropout,56.4,12.5,31.1,56.4
1,39,1,9003,1,19,133.1,4,1,2,4,120.0,0,0,1,1,0,25,16.2,-0.92,Dropout,56.3,23.6,20.1,56.3
1,17,4,9773,1,1,137.0,1,1,5,5,125.8,0,1,1,1,0,20,12.7,-1.7,Dropout,56.2,23.4,20.3,56.2
1,39,1,9991,0,3,130.0,37,37,9,9,146.2,0,0,1,0,0,28,10.8,1.74,Dropout,55.5,15.7,28.8,55.5
1,39,1,9991,0,1,133.1,37,1,5,4,151.2,0,0,1,1,0,25,12.4,1.79,Dropout,54.8,30.7,14.5,54.8
1,1,6,9500,1,1,136.0,1,1,4,5,123.3,0,0,0,0,0,18,9.4,-3.12,Dropout,54.8,26.5,18.7,54.8
2,39,2,9147,1,1,133.1,37,37,5,7,110.0,0,0,1,1,0,43,9.4,-3.12,Dropout,54.4,38.0,7.6,54.4
1,7,1,9500,1,3,130.0,37,37,7,7,130.0,1,0,1,0,0,27,12.7,-1.7,Dropout,53.2,12.0,34.8,53.2
1,39,1,9991,0,1,150.0,1,19,4,8,123.0,0,0,1,1,0,27,12.7,-1.7,Dropout,53.0,37.2,9.8,53.0
1,1,1,9238,1,1,132.0,34,34,0,0,119.1,1,0,1,0,0,18,7.6,0.32,Dropout,52.3,3.1,44.6,52.3
2,39,1,9147,1,1,160.0,37,37,9,7,110.0,0,0,1,1,0,30,15.5,-4.06,Dropout,51.5,40.2,8.3,51.5
1,39,1,9991,0,1,133.1,3,38,2,7,121.7,0,0,1,1,0,31,13.9,0.79,Dropout,50.5,39.9,9.6,50.5
2,39,1,9003,1,1,150.0,37,37,9,6,140.0,0,0,1,1,0,60,15.5,-4.06,Dropout,50.5,19.0,30.5,50.5
1,1,1,9670,1,1,116.0,38,19,0,2,116.7,1,0,1,1,0,21,9.4,-3.12,Dropout,50.0,25.0,24.9,50.0
1,39,1,9991,0,1,130.0,37,37,9,9,120.2,1,0,1,1,0,30,7.6,0.32,Dropout,49.8,41.8,8.4,49.8
2,39,1,9119,1,1,120.0,37,38,9,10,145.4,0,1,1,1,0,40,16.2,-0.92,Dropout,49.3,47.5,3.2,49.3
1,1,5,171,1,1,160.0,1,1,4,4,139.7,0,0,1,1,0,18,12.7,-1.7,Dropout,49.2,22.6,28.1,49.2
1,1,5,9853,1,1,123.0,1,12,4,9,113.2,1,0,1,0,0,20,10.8,1.74,Dropout,49.1,27.0,23.9,49.1
1,1,1,9670,1,1,133.1,34,38,0,4,147.0,0,0,1,0,0,22,9.4,-3.12,Dropout,48.8,10.8,40.4,48.8
1,17,4,9670,1,1,125.0,1,1,4,90,125.4,1,0,1,1,0,19,7.6,0.32,Dropout,48.7,15.6,35.7,48.7
1,7,1,9119,1,40,130.0,1,1,4,4,130.0,0,0,1,1,0,27,11.1,2.02,Dropout,48.6,44.5,6.9,48.6
2,39,1,9556,1,1,100.0,37,37,9,9,120.0,0,0,1,0,0,47,12.7,-1.7,Dropout,48.3,32.7,19.0,48.3
1,17,2,9254,1,1,130.0,37,37,5,7,123.4,1,0,1,1,0,30,7.6,0.32,Dropout,48.1,29.5,22.4,48.1
2,39,2,8014,0,19,100.0,37,37,4,7,100.0,0,1,1,0,0,37,7.6,0.32,Dropout,47.9,31.1,21.0,47.9
1,17,1,9853,1,1,127.0,38,37,5,7,121.8,1,1,1,0,0,18,10.8,1.74,Dropout,47.8,42.2,10.0,47.8
1,1,1,9130,1,1,164.0,34,1,0,0,163.0,0,0,1,0,0,18,7.6,0.32,Graduate,47.8,2.9,49.3,47.8
1,39,1,9254,1,1,170.0,37,37,4,6,138.3,0,0,1,0,0,33,10.8,1.74,Dropout,47.8,28.4,23.8,47.8
1,18,1,9119,1,1,108.0,1,1,4,3,105.6,1,0,1,1,0,20,12.4,1.79,Dropout,47.5,43.9,8.7,47.5
1,17,6,9254,1,1,125.0,1,1,4,3,120.5,1,0,1,1,0,18,11.1,2.02,Dropout,47.5,17.1,35.4,47.5
1,39,1,9085,1,1,133.1,37,37,9,9,148.2,1,1,1,0,0,27,12.4,1.79,Dropout,46.8,39.2,14.0,46.8
2,39,1,9556,1,19,133.1,37,38,9,9,123.0,0,0,1,0,0,31,12.4,1.79,Dropout,46.7,20.7,32.6,46.7
2,39,1,9991,0,1,150.0,37,37,9,7,122.5,0,0,1,1,0,47,7.6,0.32,Dropout,46.4,38.9,14.7,46.4
1,1,1,171,1,1,116.0,38,1,5,1,111.1,0,0,1,1,0,21,13.9,0.79,Dropout,46.3,24.8,28.9,46.3
1,43,1,9130,1,1,120.0,1,19,9,9,120.0,1,0,1,0,0,21,15.5,-4.06,Dropout,46.1,36.7,17.2,46.1
1,7,1,9991,0,40,150.0,37,37,6,6,150.0,1,0,1,1,0,44,8.9,3.51,Dropout,46.1,16.5,37.3,46.1
